,X,id,studentID,groupID,timeUsed,TimeUsedSec,gender
355,465,4511,4668,336S14,37855,37.855,1
356,466,4510,BigRon,336S14,45043,45.043,1
357,467,4509,24601,336S14,50358,50.358,1
358,469,4507,7,336S14,42059,42.059,0
359,470,4506,123456789a,336S14,38770,38.77,0
360,471,4505,qwerty4321,336S14,50400,50.4,1
361,472,4504,519955,336S14,38126,38.126,0
362,473,4503,4668,336S14,36887,36.887,1
363,474,4502,qazxcv,336S14,57489,57.489,0
364,475,4501,chrisgallo,336S14,32994,32.994,1
365,476,4500,BigRon,336S14,43180,43.18,1
366,477,4499,24601,336S14,48701,48.701,1
367,478,4498,123456789a,336S14,47890,47.89,0
368,480,4497,7,336S14,33764,33.764,0
369,481,4495,519955,336S14,44781,44.781,0
370,482,4494,4668,336S14,41687,41.687,1
371,483,4493,chrisgallo,336S14,37562,37.562,1
372,484,4492,qwerty4321,336S14,42042,42.042,1
373,485,4491,qazxcv,336S14,62776,62.776,0
374,486,4490,24601,336S14,36477,36.477,1
375,487,4489,7,336S14,28347,28.347,0
376,489,4487,chrisgallo,336S14,46322,46.322,1
377,491,4485,123456789a,336S14,35978,35.978,0
378,492,4484,519955,336S14,36128,36.128,0
379,493,4483,qwerty4321,336S14,37802,37.802,1
380,494,4482,123456789a,336S14,36354,36.354,0
381,495,4481,chrisgallo,336S14,36059,36.059,1
382,488,4488,BigRon,MAT336S14,47602,47.602,1
383,496,4480,May5th,MAT336S14,50088,50.088,1
384,498,4478,octopus,MAT336S14,37919,37.919,0
385,499,4477,"IamnotAmyImnotChris",MAT336S14,37342,37.342,1
386,500,4476,maomao,MAT336S14,51445,51.445,0
387,501,4475,pslough,MAT336S14,36514,36.514,1
388,502,4474,octopus,MAT336S14,33327,33.327,0
389,504,4472,"IamnotAmyImnotChris",MAT336S14,59068,59.068,1
390,505,4471,maomao,MAT336S14,42961,42.961,0
391,506,4470,pslough,MAT336S14,39763,39.763,1
392,507,4469,octopus,MAT336S14,42423,42.423,0
393,508,4468,4668,MAT336S14,54947,54.947,1
394,509,4467,felix,MAT336S14,48401,48.401,1
395,510,4466,maomao,MAT336S14,53242,53.242,0
396,511,4465,pslough,MAT336S14,42640,42.64,1
397,512,4464,7,MAT336S14,32952,32.952,0
398,514,4461,qwerty1234,MAT336S14,34569,34.569,1
399,515,4460,"IamnotAmyImnotChris",MAT336S14,48330,48.33,1
400,516,4459,octopus,MAT336S14,53014,53.014,0
401,517,4458,felix,MAT336S14,50905,50.905,1
402,518,4457,4668,MAT336S14,48847,48.847,1
403,519,4456,7,MAT336S14,52469,52.469,0
404,520,4455,maomao,MAT336S14,49887,49.887,0
405,522,4452,qwerty1234,MAT336S14,52497,52.497,1
406,523,4451,7,MAT336S14,31510,31.51,0
407,524,4450,4668,MAT336S14,45706,45.706,1
408,525,4449,123456789a,MAT336S14,42412,42.412,0
409,526,4448,felix,MAT336S14,57036,57.036,1
410,527,4447,"IamnotAmyImnotChris",MAT336S14,43744,43.744,1
411,528,4446,maomao,MAT336S14,71454,71.454,0
412,529,4444,qwerty1234,MAT336S14,30169,30.169,1
413,531,4442,123456789a,MAT336S14,36577,36.577,0
414,532,4441,7,MAT336S14,46390,46.39,0
415,533,4440,4668,MAT336S14,61397,61.397,1
416,534,4439,felix,MAT336S14,56943,56.943,1
417,535,4438,pslough,MAT336S14,39306,39.306,1
418,536,4436,123456789a,MAT336S14,42358,42.358,0
419,537,4435,qwerty1234,MAT336S14,48993,48.993,1
420,539,4434,pslough,MAT336S14,43971,43.971,1
421,540,4431,pslough,MAT336S14,41850,41.85,1
422,541,4432,123456789a,MAT336S14,55457,55.457,0
423,542,4430,pslough,MAT336S14,41004,41.004,1
424,575,1988,"12345678971811",mth22601,47175,47.175,0
425,576,1987,EdNigma,mth22601,45024,45.024,1
426,578,1985,me,mth22601,87025,87.025,0
427,579,1983,264142,mth22601,60245,60.245,0
428,580,1984,student,mth22601,54908,54.908,0
429,581,1982,student277,mth22601,53189,53.189,0
430,582,1981,Stats10,mth22601,54939,54.939,1
431,583,1980,"12345678971811",mth22601,57783,57.783,0
432,584,1979,abc123,mth22601,52797,52.797,1
433,585,1977,student,mth22601,47652,47.652,0
434,586,1978,AR,mth22601,54082,54.082,0
435,587,1975,Student2,mth22601,63921,63.921,0
436,588,1976,270702,mth22601,50309,50.309,0
437,589,1973,2262,mth22601,49942,49.942,0
438,590,1974,student,mth22601,51030,51.03,1
439,592,1971,Student1,mth22601,47568,47.568,0
440,593,1970,sbm0612,mth22601,44793,44.793,0
441,594,1969,2790,mth22601,49633,49.633,0
442,595,1968,JL,mth22601,46044,46.044,1
443,596,1967,Stats10,mth22601,65936,65.936,1
444,597,1966,me,mth22601,93944,93.944,0
445,598,1964,AR,mth22601,57051,57.051,0
446,599,1965,student277,mth22601,70363,70.363,0
447,600,1963,student,mth22601,55552,55.552,0
448,601,1962,student,mth22601,54994,54.994,0
449,603,1960,EdNigma,mth22601,50699,50.699,1
450,604,1959,Student2,mth22601,69900,69.9,0
451,605,1958,Student1,mth22601,65187,65.187,0
452,606,1957,264142,mth22601,64409,64.409,0
453,607,1956,Stats10,mth22601,81759,81.759,1
454,608,1955,abc123,mth22601,59885,59.885,1
455,610,1953,JL,mth22601,51370,51.37,1
456,611,1952,270702,mth22601,47831,47.831,0
457,612,1951,sbm0612,mth22601,64727,64.727,0
458,613,1950,2262,mth22601,48960,48.96,0
459,614,1949,student,mth22601,46640,46.64,1
460,615,1948,"12345678971811",mth22601,56766,56.766,0
461,616,1947,2790,mth22601,76020,76.02,0
462,862,809,getmoney,psych3700,50037,50.037,1
463,863,808,getmoney,psych3700,50617,50.617,1
464,864,807,BunniesRCute,psych3700,49917,49.917,0
465,865,806,ksb,psych3700,40908,40.908,0
466,866,805,87925,psych3700,44430,44.43,0
467,867,804,21,psych3700,50330,50.33,0
468,868,803,Alaina,psych3700,44241,44.241,0
469,869,802,231231,psych3700,43628,43.628,1
470,871,799,unicorns,psych3700,43887,43.887,0
471,873,798,89,psych3700,34709,34.709,1
472,874,797,getmoney,psych3700,60467,60.467,1
473,875,796,ksb,psych3700,44438,44.438,0
474,876,795,BunniesRCute,psych3700,64227,64.227,0
475,877,794,87925,psych3700,55258,55.258,0
476,878,793,231231,psych3700,45227,45.227,1
477,880,790,Alaina,psych3700,42974,42.974,0
478,881,791,21,psych3700,52291,52.291,0
479,882,789,unicorns,psych3700,40227,40.227,0
480,884,787,89,psych3700,36378,36.378,1
481,121,14509,Ruth,USCOTS15,69419,69.419,0
482,122,14508,teacher2,USCOTS15,62175,62.175,0
483,124,14502,affiliate,USCOTS15,66286,66.286,1
484,125,14496,student,USCOTS15,47335,47.335,1
485,127,14458,Gene,USCOTS15,50483,50.483,1
486,128,14457,Zaria,USCOTS15,63122,63.122,1
487,129,14455,student,USCOTS15,54763,54.763,1
488,130,14454,millsm,USCOTS15,53149,53.149,1
489,131,14453,RAA,USCOTS15,41498,41.498,0
490,132,14452,abq,USCOTS15,39474,39.474,1
491,133,14450,batman,USCOTS15,23106,23.106,0
492,135,14449,fractal,USCOTS15,60111,60.111,0
493,136,14448,teacher2,USCOTS15,29225,29.225,0
494,137,14444,rsha,USCOTS15,30139,30.139,0
495,138,14445,Amy,USCOTS15,38935,38.935,0
496,139,14446,teacherch,USCOTS15,32860,32.86,0
497,140,14447,Teacher,USCOTS15,37076,37.076,0
498,141,14442,carol,USCOTS15,36915,36.915,0
499,142,14443,mcluvin,USCOTS15,35693,35.693,1
500,144,14439,zowie,USCOTS15,36280,36.28,0
501,145,14437,me,USCOTS15,33767,33.767,0
502,146,14438,Student321,USCOTS15,28158,28.158,1
503,147,14436,Ruth,USCOTS15,23996,23.996,0
504,148,14435,Coloradoan,USCOTS15,37747,37.747,1
505,149,14432,JustMe,USCOTS15,25674,25.674,0
506,150,14433,teacherMAN,USCOTS15,23373,23.373,1
507,151,14434,lisa,USCOTS15,29451,29.451,0
508,152,14429,bjs,USCOTS15,20389,20.389,1
509,154,14431,DustinROX,USCOTS15,20488,20.488,1
510,155,14428,Nellie,USCOTS15,26790,26.79,0
511,156,14426,teacher,USCOTS15,27996,27.996,0
512,157,14427,ISUgrads,USCOTS15,24071,24.071,1
513,158,14424,"teddy4toSCup",USCOTS15,24963,24.963,1
514,159,14425,me,USCOTS15,25723,25.723,1
515,160,14423,lu723,USCOTS15,23552,23.552,1
516,161,14422,BH,USCOTS15,25934,25.934,0
