"","X","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"111",416,4989,"17","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,27249,1,1,15,54,"2014-08-29 12:56:05",27.249,0
"112",417,4990,"45687","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,30276,1,0,15,54,"2014-08-29 12:56:05",30.276,0
"113",418,4991,"051095","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,33171,1,4,15,54,"2014-08-29 12:56:05",33.171,0
"114",419,4987,"1854512","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,31190,1,0,15,54,"2014-08-29 12:56:04",31.19,0
"115",420,4988,"2014220","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,30141,1,1,15,54,"2014-08-29 12:56:04",30.141,1
"116",421,4985,"5152","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,27632,1,0,15,54,"2014-08-29 12:56:03",27.632,0
"117",422,4986,"123456","MATH22015","Gender","female",NA,NA,NA,NA,15,"diffColor",0,28746,1,0,15,54,"2014-08-29 12:56:03",28.746,0
"118",423,4982,"25698","MATH22015","Gender","Female",NA,NA,NA,NA,15,"shape",0,26840,1,0,15,54,"2014-08-29 12:56:02",26.84,0
"119",424,4983,"12345","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,27206,1,0,15,54,"2014-08-29 12:56:02",27.206,0
"120",425,4984,"56565","MATH22015","Gender","Female",NA,NA,NA,NA,15,"shape",0,35046,1,1,15,54,"2014-08-29 12:56:02",35.046,0
"121",426,4981,"1337","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,26102,1,0,15,54,"2014-08-29 12:56:01",26.102,1
"122",427,4979,"23","MATH22015","Gender","M",NA,NA,NA,NA,15,"shape",0,25110,1,0,15,54,"2014-08-29 12:56:00",25.11,1
"123",428,4980,"129834","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,24998,1,0,15,54,"2014-08-29 12:56:00",24.998,1
"124",429,4973,"06231994","MATH22015","Gender","M",NA,NA,NA,NA,15,"shape",0,25422,1,0,15,54,"2014-08-29 12:55:59",25.422,1
"125",430,4974,"98","MATH22015","Gender:","M",NA,NA,NA,NA,15,"shape",0,26918,1,1,15,54,"2014-08-29 12:55:59",26.918,1
"126",431,4975,"BlueSmurf","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,22935,1,1,15,54,"2014-08-29 12:55:59",22.935,0
"127",432,4976,"786543","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,22813,1,0,15,54,"2014-08-29 12:55:59",22.813,0
"128",433,4977,"10320","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,26678,1,0,15,54,"2014-08-29 12:55:59",26.678,1
"129",434,4978,"9027","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,23576,1,0,15,54,"2014-08-29 12:55:59",23.576,1
"130",435,4969,"001010110","MATH22015","Gender","M",NA,NA,NA,NA,15,"shape",0,23950,1,1,15,54,"2014-08-29 12:55:58",23.95,1
"131",436,4970,"542574","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,24960,1,0,15,54,"2014-08-29 12:55:58",24.96,0
"132",437,4971,"23761","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,25274,1,0,15,54,"2014-08-29 12:55:58",25.274,0
"133",438,4972,"2039","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,23548,1,0,15,54,"2014-08-29 12:55:58",23.548,1
"134",439,4966,"800857734","MATH22015","Gender","Male",NA,NA,NA,NA,15,"shape",0,21002,1,1,15,54,"2014-08-29 12:55:57",21.002,1
"135",440,4967,"5168","MATH22015","Gender","F",NA,NA,NA,NA,15,"diffColor",0,23800,1,1,15,54,"2014-08-29 12:55:57",23.8,0
"136",441,4968,"123456789","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,23550,1,1,15,54,"2014-08-29 12:55:57",23.55,0
"137",442,4964,"54689","MATH22015","Gender","Female",NA,NA,NA,NA,15,"shape",0,23617,1,0,15,54,"2014-08-29 12:55:56",23.617,0
"138",443,4965,"3546464","MATH22015","Gender","Male",NA,NA,NA,NA,15,"shape",0,23286,1,0,15,54,"2014-08-29 12:55:56",23.286,1
"139",444,4963,"654","MATH22015","Gender","M",NA,NA,NA,NA,15,"shape",0,20710,1,0,15,54,"2014-08-29 12:55:53",20.71,1
"140",372,5081,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,22351,1,0,15,54,"2014-08-29 14:06:14",22.351,0
"141",373,5080,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,23997,1,1,15,54,"2014-08-29 14:06:09",23.997,0
"142",374,5079,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,22247,1,0,15,54,"2014-08-29 14:05:11",22.247,0
"143",375,5078,NA,"MATH22018","GENDER","F",NA,NA,NA,NA,15,"shape",0,26793,1,0,15,54,"2014-08-29 14:04:24",26.793,0
"144",376,5074,NA,"MATH22018","GENDER","F",NA,NA,NA,NA,15,"shape",0,28721,1,0,15,54,"2014-08-29 14:02:33",28.721,0
"145",377,5068,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,32442,1,0,15,54,"2014-08-29 13:56:42",32.442,0
"146",378,5067,NA,"MATH22018","Gender","M",NA,NA,NA,NA,15,"shape",0,26799,1,1,15,54,"2014-08-29 13:56:33",26.799,1
"147",379,5066,"12345","MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,28871,1,0,15,54,"2014-08-29 13:56:22",28.871,0
"148",380,5065,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,41397,1,4,15,54,"2014-08-29 13:56:07",41.397,0
"149",381,5064,NA,"MATH22018","Gender","M",NA,NA,NA,NA,15,"diffColor",0,29711,1,3,15,54,"2014-08-29 13:55:58",29.711,1
"150",382,5063,NA,"MATH22018","Gender","M",NA,NA,NA,NA,15,"diffColor",0,23668,1,0,15,54,"2014-08-29 13:55:53",23.668,1
"151",383,5062,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,32369,1,0,15,54,"2014-08-29 13:55:52",32.369,0
"152",384,5061,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,29569,1,1,15,54,"2014-08-29 13:55:51",29.569,0
"153",385,5058,NA,"MATH22018","Gender","M",NA,NA,NA,NA,15,"shape",0,28969,1,3,15,54,"2014-08-29 13:55:50",28.969,1
"154",386,5059,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,25154,1,0,15,54,"2014-08-29 13:55:50",25.154,0
"155",387,5060,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,26663,1,1,15,54,"2014-08-29 13:55:50",26.663,0
"156",388,5056,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,27157,1,0,15,54,"2014-08-29 13:55:49",27.157,0
"157",389,5057,NA,"MATH22018","Gender","M",NA,NA,NA,NA,15,"diffColor",0,31325,1,3,15,54,"2014-08-29 13:55:49",31.325,1
"158",390,5055,NA,"MATH22018","GENDER","F",NA,NA,NA,NA,15,"shape",0,31512,1,0,15,54,"2014-08-29 13:55:48",31.512,0
"159",391,5052,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,26927,1,0,15,54,"2014-08-29 13:55:47",26.927,0
"160",392,5053,NA,"MATH22018","Gender","M",NA,NA,NA,NA,15,"diffColor",0,24377,1,1,15,54,"2014-08-29 13:55:47",24.377,1
"161",393,5054,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,31517,1,1,15,54,"2014-08-29 13:55:47",31.517,0
"162",394,5046,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,28254,1,0,15,54,"2014-08-29 13:55:46",28.254,0
"163",395,5047,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,27290,1,1,15,54,"2014-08-29 13:55:46",27.29,0
"164",396,5048,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,24113,1,3,15,54,"2014-08-29 13:55:46",24.113,0
"165",397,5049,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,26570,1,0,15,54,"2014-08-29 13:55:46",26.57,0
"166",398,5050,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,28081,1,0,15,54,"2014-08-29 13:55:46",28.081,0
"167",399,5051,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,30721,1,0,15,54,"2014-08-29 13:55:46",30.721,0
"168",400,5043,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,24859,1,0,15,54,"2014-08-29 13:55:45",24.859,0
"169",401,5044,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,30097,1,1,15,54,"2014-08-29 13:55:45",30.097,0
"170",402,5045,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,28105,1,3,15,54,"2014-08-29 13:55:45",28.105,0
"171",403,5042,"123456789","MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,27140,1,0,15,54,"2014-08-29 13:55:44",27.14,0
"172",404,5040,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,27346,1,2,15,54,"2014-08-29 13:55:43",27.346,0
"173",405,5041,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"shape",0,25206,1,0,15,54,"2014-08-29 13:55:43",25.206,0
"174",406,5038,NA,"MATH22018","Gender","F",NA,NA,NA,NA,15,"diffColor",0,24297,1,0,15,54,"2014-08-29 13:55:42",24.297,0
